id,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3054347.0,https://www.airbnb.com/rooms/3054347,01/04/2023,city scrape,PequeÃ±o estudio con vistas al mar.,"PequeÃ±o estudio situado en el casco antiguo en la calle con mÃ¡s encanto de CadaquÃ©s. <br />Terraza vistas al mar. Dispone de una cocina con encimera de 2 fuegos, microondas, hervidor, cafetera, nevera y menaje de cocina. BaÃ±o con ducha.<br />No se aceptan animales.<br /><br /><b>The space</b><br />Estudio recientemente renovado con terraza vistas al mar. Es un espacio completamente independiente del resto de la vivienda. No se comparten ni la terraza ni baÃ±o ni cocina, es solo para uso del huÃ©sped. La casa tiene 3 plantas. Dos pisos independientes (1Âª y 2Âª planta) y en la tercera es donde esta el pequeÃ±o estudio( No hay (URL HIDDEN). Comparten la  entrada de la calle y la escalera principal.<br /><br /><b>Other things to note</b><br />RTC: HUTG-002595-39 RTC: HUTG-002595-39<br /><br /><b>License number</b><br />HUTG-002595","Tiene una muy buena ubicaciÃ²n ya que se encuentra en pleno centro del casco antiguo  en una de las calles peatonales mÃ¡s bonitas de CadaquÃ©s. A unos pocos minutos andando encontraran varias calitas que hay en el centro.<br />Al estar en pleno centro del pueblo tienen a unos paso tiendas, bares, restaurantes....<br />A una media hora andando tiene la Casa Museo de Salvador DalÃ­. <br />El Cabo de Creus se encuentra a unos 6 u 8 km.<br />El Museo Dali de Figueras se encuentra a 33 Km.",https://a0.muscache.com/pictures/9bf9b7ee-092b-42af-8617-fab63547669b.jpg,https://www.airbnb.com/users/show/15550598,Carmen,15/05/2014,"CadaquÃ©s, Spain",Hola somos de CadaquÃ©s y nos gusta recibir a gente de distintos lugares. ,within a few hours,100%,96%,t,https://a0.muscache.com/im/users/15550598/profile_pic/1401198648/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15550598/profile_pic/1401198648/original.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,"CadaquÃ©s, Catalonia, Spain",CadaquÃ©s,Private room,Private room,1 private bath,"[""Air conditioning"", ""Refrigerator"", ""Shampoo"", ""Microwave"", ""First aid kit"", ""Hangers"", ""Stove"", ""Dishes and silverware"", ""Bed linens"", ""Heating"", ""Shower gel"", ""Cooking basics"", ""TV"", ""Private patio or balcony"", ""Hot water"", ""Lock on bedroom door"", ""Hair dryer"", ""Kitchen"", ""Iron"", ""Extra pillows and blankets"", ""Coffee maker"", ""Essentials"", ""Wifi""]",t,01/04/2023,16/06/2014,05/11/2022,HUTG-002595,f,20230300000000.0,15550598,2.0,2.0,0.0,42.28732,3.27713,2.0,0.0,0.0,1.0,109.0,2.0,15,2.0,4.0,15.0,15.0,2.4,15.0,0.0,6,23,36,187,6.4,2.3,0.0,4.92,4.94,4.97,4.94,4.92,4.98,4.82,2.0,1.0,0.0,0.0,0.2
14613107.0,https://www.airbnb.com/rooms/14613107,01/04/2023,previous scrape,HabitaciÃ³n con increible terraza y desayuno!,"Lugares de interÃ©s: HabitaciÃ³n con increÃ¯ble terraza en una Masia situada entre el parque natural de la zona VolcÃ¡nica y el lago de Banyoles. Estamos a cinco minutos de las gorga mas bonita de Santa Pau, el Salt de Can Batlle!. Mi alojamiento es bueno para parejas y familias (con hijos). Ofrecemos un buen desayuno!<br /><br /><b>The space</b><br />L'allotjament Ã©s molt tranquil, per gaudir de la natura i el relax de la Garrotxa, estem al costat d'un petit nucli molt rÃºstic, envoltats de gorgues xulÃ­ssimes. Des de casa pots fer diferents rutes a peu.<br /><br /><b>Guest access</b><br />Oferim un bon esmorzar per comenÃ§ar el dia!",--,https://a0.muscache.com/pictures/2fd05b2c-c902-49ae-a024-06043e8d6178.jpg,https://www.airbnb.com/users/show/38817324,Cris,18/07/2015,"Santa Pau, Spain","Una menorquina i un gironÃ­ vivint des de fa mjtja vida a la Garrotxa. Som una famÃ­lia amb un fill de 5 anys, que ens encanta la natura, tenim una gossa i dos gats. Som vegetarians, ens agrada cuidar l,entorn i que la gent es senti a gust a casa nostra. Tenim un espai molt xulo a fora, sobretot pels nens. ",--,--,--,f,https://a0.muscache.com/im/pictures/user/c5d3e956-7b1e-4a73-a7fa-685e9c8a6d05.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c5d3e956-7b1e-4a73-a7fa-685e9c8a6d05.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Santa Pau,Private room,Private room,1 bath,"[""Hair dryer"", ""Iron"", ""Washer"", ""Free parking on premises"", ""Hangers"", ""Heating"", ""Essentials"", ""Shampoo"", ""Breakfast"", ""Wifi""]",t,01/04/2023,02/10/2016,15/10/2017,--,f,20230300000000.0,38817324,1.0,1.0,0.0,42.15369,2.60122,4.0,0.0,1.0,2.0,40.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,0,0,0,0,6.4,0.0,0.0,4.85,4.93,4.88,4.85,4.83,4.8,4.88,1.0,0.0,0.0,0.0,0.52
17117682.0,https://www.airbnb.com/rooms/17117682,31/03/2023,city scrape,HabitaciÃ³n Mosso Felitu (2-3 personas),"Can Pere Petit estÃ¡ dividida en varios alojamientos independientes , con capacidad de 2 a 7 personas, segÃºn cada alojamiento. Cada uno de ellos estÃ¡ acondicionado con cocina equipada, comedor-salÃ³n, sala de estar, 1 o 2 baÃ±os con baÃ±era o ducha. Entre los diversos apartamentos que podrÃ¡n encontrar tenemos:<br /><br />Mosso Felitu Hab. (2-3 plazas): Es una casa que cuenta con habitaciÃ³n independiente 2/3 plazas. (2 camas individuales juntas y 1 individual) con baÃ±o con ducha, nevera y TV.<br /><br /><b>The space</b><br />Casa de pueblo del siglo XVIII, rehabilitada recientemente cuidando los detalles que nos devuelven al pasado. Integrada en el nÃºcleo antiguo de Santa Pau, pueblo de origen medieval, declarado de interÃ©s turÃ­stico, (300 habitantes).<br /><br />Dentro del Parque Natural de la Zona VolcÃ¡nica de la Garrotxa, y a 10 minutos de la Fageda dâen JordÃ¡, los volcanes de Sta. Margarida y el Croscat.<br /><br /><b>Other things to note</b><br />El precio incluye IVA<br />NO incluye I",--,https://a0.muscache.com/pictures/82e3f708-2017-4a0b-8bc8-a3359541f4ed.jpg,https://www.airbnb.com/users/show/104655629,M. Luz,21/11/2016,"Santa Pau, Spain",El meu nom Ã©s Llum RodrÃ­guez i sÃ³c molt detallista i curosa amb la decoraciÃ³ i la neteja. Faig tot el possible perquÃ¨ l'estada dels meus hostes sigui el millor possible i estic oberta a qualsevol suggeriment. ,within a few hours,100%,76%,f,https://a0.muscache.com/im/pictures/user/8269ae13-a9d7-4e39-a510-384f95c2f4f1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8269ae13-a9d7-4e39-a510-384f95c2f4f1.jpg?aki_policy=profile_x_medium,--,"['email', 'phone', 'work_email']",t,t,--,Santa Pau,Private room,Private room,1 private bath,"[""Pool"", ""Pets allowed"", ""Hangers"", ""Heating"", ""Smoking allowed"", ""Essentials"", ""Shampoo"", ""TV"", ""Wifi"", ""Fire extinguisher"", ""Private entrance""]",t,31/03/2023,25/02/2017,05/12/2022,ATG-000023,f,20230300000000.0,104655629,10.0,10.0,0.0,42.1448,2.56848,2.0,0.0,1.0,2.0,73.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,21,50,73,325,14.0,3.0,0.0,4.62,4.62,4.92,4.77,4.77,4.85,4.62,10.0,9.0,0.0,0.0,0.19
19010036.0,https://www.airbnb.com/rooms/19010036,01/04/2023,city scrape,Hostal La Gola 2,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), heat pump, air-conditioned, communal swimmi",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010036/original/f9c3e111-9dc3-44c4-a452-8548a524e415.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""Essentials"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.02172,3.1868,2.0,0.0,1.0,2.0,97.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,852.8,0.0,29,59,88,90,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
19010037.0,https://www.airbnb.com/rooms/19010037,01/04/2023,city scrape,Hostal La Gola 3,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), heat pump, air-conditioned, communal swimmi",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010037/original/65ea5417-7370-4c6e-8720-bedb355981d3.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""Essentials"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.02005,3.18668,2.0,0.0,1.0,2.0,97.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,855.4,0.0,29,59,88,90,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
19010038.0,https://www.airbnb.com/rooms/19010038,01/04/2023,city scrape,Hostal La Gola 4,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), childrens area, heat pump, air-conditioned,",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010038/original/d17e0ab2-b514-461f-9997-157078cd50e7.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""Essentials"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.0219,3.18623,2.0,0.0,1.0,2.0,97.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,855.4,0.0,29,59,88,90,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
19010039.0,https://www.airbnb.com/rooms/19010039,01/04/2023,city scrape,Hostal La Gola 5,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Emporda Golf Club golf course, 6 km from Torroella De Montgri city, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Emporda Golf Club golf course, 6 km from Torroella De Montgri city, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), heat pump, air-conditioned, communal swimmi",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010039/original/38cdfe6c-2635-4ef3-bf23-11b42ef1b4fe.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""Essentials"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.0213,3.18658,2.0,0.0,1.0,2.0,97.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,855.4,0.0,29,59,88,90,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
19010040.0,https://www.airbnb.com/rooms/19010040,01/04/2023,city scrape,Hostal La Gola 7,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), heat pump, air-conditioned, communal swimmi",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010040/original/9dfed09b-2c40-4b02-839a-236956c791a7.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""Essentials"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.02124,3.1861,2.0,0.0,1.0,2.0,126.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,851.7,0.0,29,59,89,91,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
19010041.0,https://www.airbnb.com/rooms/19010041,01/04/2023,city scrape,Hostal La Gola 6,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), heat pump, air-conditioned, communal swimmi",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010041/original/30a2bf78-dc3f-44de-a6c5-d71e0f48bc49.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.02163,3.18766,2.0,0.0,1.0,2.0,126.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,855.4,0.0,29,59,88,90,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
19010042.0,https://www.airbnb.com/rooms/19010042,01/04/2023,city scrape,Hostal La Gola 8,"The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea.<br /><br /><b>The space</b><br />The hotel in Torroella de Montgri has 1 bedrooms and has capacity for 2 people. <br />The hotel is 15 mÂ². <br />The property is located 150 m from La Gola sand beach, 2 km from the supermarket, 6 km from Torroella De Montgri city, 6 km from Emporda Golf Club golf course, 35 km from FlaÃ§a train station, 55 km from Girona Costa Brava airport. The house is situated in a quiet neighborhood next to the sea. <br />The accommodation is equipped with the following items: garden, garden furniture, safe, internet (Wi-Fi), heat pump, air-conditioned, communal swimmi",--,https://a0.muscache.com/pictures/prohost-api/Hosting-19010042/original/5ce8cd78-895c-4fab-8d43-455ed87059b0.jpeg,https://www.airbnb.com/users/show/95415596,Ceigrup,16/09/2016,"Torroella de MontgrÃ­, Spain","Contamos con un equipo de personas exclusivamente dedicadas a todo el proceso desde que empiezas a planificar tus vacaciones en la Costa Brava hasta que vuelves a tu casa: InformaciÃ³n, reserva, recepciÃ³n y atenciÃ³n durante tu estancia, limpieza y mantenimiento.

Queremos que tus vacaciones sean Ãºnicas... Estaremos encantados de ayudarte en cualquier necesidad que tengas mientras estÃ©s en nuestro destino. Somos especialistas, conocemos bien la Costa Brava Â¡y nos entusiasma!",within an hour,92%,100%,f,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/926e04d9-d424-462e-a25c-269f28d0031b.jpg?aki_policy=profile_x_medium,--,"['email', 'phone']",t,t,--,Torroella de MontgrÃ­,Room in hotel,Private room,1 bath,"[""Pool"", ""Free street parking"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens"", ""Heating"", ""Smoking allowed"", ""Backyard"", ""Essentials"", ""TV"", ""Wifi""]",t,01/04/2023,--,--,HG-001240,t,20230300000000.0,95415596,25.1,33.2,0.0,42.02031,3.18672,2.0,0.0,1.0,2.0,97.0,1.0,1125,1.0,2.0,2.0,1125.0,1.3,851.7,0.0,29,59,89,91,0.0,0.0,0.0,4.6,4.6,4.5,0.0,0.0,4.7,4.4,21.5,21.6,0.0,0.0,0.0
